msgid,msgstr
"<h3>Print Format Help</h3> <hr> <h4>Introduction</h4> <p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p> <p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p> <hr> <h4>References</h4> <ol> 	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templating Language</a></li> 	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li> </ol> <hr> <h4>Example</h4> <pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt; &lt;div class=""row""&gt; 	&lt;div class=""col-md-3 text-right""&gt;Customer Name&lt;/div&gt; 	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt; &lt;/div&gt; &lt;div class=""row""&gt; 	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt; 	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt; &lt;/div&gt; &lt;table class=""table table-bordered""&gt; 	&lt;tbody&gt; 		&lt;tr&gt; 			&lt;th&gt;Sr&lt;/th&gt; 			&lt;th&gt;Item Name&lt;/th&gt; 			&lt;th&gt;Description&lt;/th&gt; 			&lt;th class=""text-right""&gt;Qty&lt;/th&gt; 			&lt;th class=""text-right""&gt;Rate&lt;/th&gt; 			&lt;th class=""text-right""&gt;Amount&lt;/th&gt; 		&lt;/tr&gt; 		{%- for row in doc.items -%} 		&lt;tr&gt; 			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt; 			&lt;td style=""width: 20%;""&gt; 				{{ row.item_name }} 				{% if row.item_code != row.item_name -%} 				&lt;br&gt;Item Code: {{ row.item_code}} 				{%- endif %} 			&lt;/td&gt; 			&lt;td style=""width: 37%;""&gt; 				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt; 			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt; 			&lt;td style=""width: 15%; text-align: right;""&gt;{{ 				row.get_formatted(""rate"", doc) }}&lt;/td&gt; 			&lt;td style=""width: 15%; text-align: right;""&gt;{{ 				row.get_formatted(""amount"", doc) }}&lt;/td&gt; 		&lt;/tr&gt; 		{%- endfor -%} 	&lt;/tbody&gt; &lt;/table&gt;</code></pre> <hr> <h4>Common Functions</h4> <table class=""table table-bordered""> 	<tbody> 		<tr> 			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td> 			<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td> 		</tr> 		<tr> 			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td> 			<td>Get value from another document.</td> 		</tr> 	</tbody> </table>","<h3>Pomoc pri tlačovom formáte</h3> <hr> <h4>Úvod</h4> <p>Tlačové formáty sú vykresľované na strane servera s použitím Jinja templátovacieho jazyka. Všetky formuláre majú prístup k objektu <code>doc</code>, ktorý obsahuje informácie o dokumente, ktorý sa formátuje. Môžete tiež pristupovať ku spoločným utilitam cez modul <code>frappe</code>.</p> <p>Pre štýlovanie je k dispozícii CSS framework Bootstrap, takže môžete využiť celú škálu tried.</p> <hr> <h4>Referencie</h4> <ol> 	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja templátovací jazyk</a></li> 	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS framework</a></li> </ol> <hr> <h4>Príklad</h4> <pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt; &lt;div class=""row""&gt; 	&lt;div class=""col-md-3 text-right""&gt;Meno zákazníka&lt;/div&gt; 	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt; &lt;/div&gt; &lt;div class=""row""&gt; 	&lt;div class=""col-md-3 text-right""&gt;Dátum&lt;/div&gt; 	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt; &lt;/div&gt; &lt;table class=""table table-bordered""&gt; 	&lt;tbody&gt; 		&lt;tr&gt; 			&lt;th&gt;r. č.&lt;/th&gt; 			&lt;th&gt;Názov položky&lt;/th&gt; 			&lt;th&gt;Popis&lt;/th&gt; 			&lt;th class=""text-right""&gt;Množstvo&lt;/th&gt; 			&lt;th class=""text-right""&gt;Sadzba&lt;/th&gt; 			&lt;th class=""text-right""&gt;Čiastka&lt;/th&gt; 		&lt;/tr&gt; 		{%- for row in doc.items -%} 		&lt;tr&gt; 			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt; 			&lt;td style=""width: 20%;""&gt; 				{{ row.item_name }} 				{% if row.item_code != row.item_name -%} 				&lt;br&gt;Kód položky: {{ row.item_code}} 				{%- endif %} 			&lt;/td&gt; 			&lt;td style=""width: 37%;""&gt; 				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt; 			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt; 			&lt;td style=""width: 15%; text-align: right;""&gt;{{ 				row.get_formatted(""rate"", doc) }}&lt;/td&gt; 			&lt;td style=""width: 15%; text-align: right;""&gt;{{ 				row.get_formatted(""amount"", doc) }}&lt;/td&gt; 		&lt;/tr&gt; 		{%- endfor -%} 	&lt;/tbody&gt; &lt;/table&gt;</code></pre> <hr> <h4>Bežné funkcie</h4> <table class=""table table-bordered""> 	<tbody> 		<tr> 			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td> 			<td>Získajte hodnotu dokumentu formátovanú ako dátum, mena, atď. Pre polia typu mena prejdite rodičovský <code>doc</code>.</td> 		</tr> 		<tr> 			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td> 			<td>Získajte hodnotu z iného dokumentu.</td> 		</tr> 	</tbody> </table>"
"<h4>Default Template</h4> <p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p> <pre><code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%} </code></pre>","<h4>Štandardná šablóna</h4> <p>Používa <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja templating</a> a všetky polia adresy (vrátane vlastných polí, ak nejaké sú) budú dostupné</p> <pre><code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PSČ:  {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Telefón: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%} </code></pre>"
"<h4>Email Reply Example</h4>  <pre>Order Overdue  Transaction {{ name }} has exceeded Due Date. Please take necessary action.  Details  - Customer: {{ customer }} - Amount: {{ grand_total }} </pre>  <h4>How to get fieldnames</h4>  <p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>  <h4>Templating</h4>  <p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Príklad odpovede na email</h4>  <pre>Objednávka po termíne  Transakcia {{ name }} prekročila dátum splatnosti. Prosím, vykonajte potrebné opatrenia.  Podrobnosti  - Zákazník: {{ customer }} - Suma: {{ grand_total }} </pre>  <h4>Ako získať názvy polí</h4>  <p>Názvy polí, ktoré môžete použiť vo vašej emailovej šablóne, sú polia v dokumente, z ktorého odosielate email. Polia akýchkoľvek dokumentov môžete zistiť cez Nastavenie &gt; Prispôsobiť zobrazenie formulára a vybrať typ dokumentu (napr. Predajná faktúra)</p>  <h4>Šablónovanie</h4>  <p>Šablóny sú zostavované pomocou jazyka Jinja Templating Language. Ak sa chcete o Jinja dozvedieť viac, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">prečítajte si túto dokumentáciu.</a></p>"
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">Alebo</h5>"
<h5>Message Example</h5>  <pre>&lt;h3&gt;Order Overdue&lt;/h3&gt;  &lt;p&gt;Transaction {{ doc.name }} has exceeded Due Date. Please take necessary action.&lt;/p&gt;  &lt;!-- show last comment --&gt; {% if comments %} Last comment: {{ comments[-1].comment }} by {{ comments[-1].by }} {% endif %}  &lt;h4&gt;Details&lt;/h4&gt;  &lt;ul&gt; &lt;li&gt;Customer: {{ doc.customer }} &lt;li&gt;Amount: {{ doc.grand_total }} &lt;/ul&gt; </pre>,"<h5>Príklad správy</h5>  <pre>&lt;h3&gt;Objednávka po termíne&lt;/h3&gt;  &lt;p&gt;Transakcia {{ doc.name }} prekročila dátum splatnosti. Prosím, urobte potrebné opatrenia.&lt;/p&gt;  &lt;!-- ukázať posledný komentár --&gt; {% if comments %} Posledný komentár: {{ comments[-1].comment }} od {{ comments[-1].by }} {% endif %}  &lt;h4&gt;Detaily&lt;/h4&gt;  &lt;ul&gt; &lt;li&gt;Zákazník: {{ doc.customer }} &lt;li&gt;Suma: {{ doc.grand_total }} &lt;/ul&gt; </pre>"
"<p><strong>Condition Examples:</strong></p> <pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000 </pre>","<p><strong>Príklady podmienok:</strong></p> <pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000 </pre>"
"<p><strong>Condition Examples:</strong></p> <pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000 </pre>","<p><strong>Príklady podmienok:</strong></p> <pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000 </pre>"
<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p> <p>If you create a separate webform every year to capture feedback from employees add a   field named year in doctype and add a filter <b>year = 2023</b></p>,"<p>Pre jeden doctype môže byť vytvorených viacero webových formulárov. Pridajte filtre špecifické pre tento webový formulár, aby sa po odoslaní zobrazil správny záznam.</p><p>Pre príklad:</p> <p>Ak každý rok vytvárate samostatný webový formulár na zhromažďovanie spätnej väzby od zamestnancov, pridajte pole s názvom rok do doctype a pridajte filter <b>rok = 2023</b></p>"
"<p>Set context before rendering a template. Example:</p><p> </p><div><pre><code> context.project = frappe.get_doc(""Project"", frappe.form_dict.name) </code></pre></div>","<p>Nastavte kontext pred vykreslením šablóny. Príklad:</p><p> </p><div><pre><code> context.project = frappe.get_doc(""Project"", frappe.form_dict.name) </code></pre></div>"
"<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// here root_element is provided by default let some_class_element = root_element.querySelector('.some-class'); some_class_element.textContent = ""New content""; </code></pre>","<p>Na interakciu s vyššie uvedeným HTML budete musieť použiť `root_element` ako rodičovský selektor.</p><p>Napríklad:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// tu je root_element poskytnutý predvolene let some_class_element = root_element.querySelector('.some-class'); some_class_element.textContent = ""Nový obsah""; </code></pre>"
"<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it, please contact your System Administrator immediately.</p>","<p>Váš tajný kód OTP na {0} bol obnovený. Ak ste toto obnovenie nevykonali a nepožiadali ste oň, okamžite kontaktujte svojho správcu systému.</p>"
<pre>*  *  *  *  * ┬  ┬  ┬  ┬  ┬ │  │  │  │  │ │  │  │  │  └ day of week (0 - 6) (0 is Sunday) │  │  │  └───── month (1 - 12) │  │  └────────── day of month (1 - 31) │  └─────────────── hour (0 - 23) └──────────────────── minute (0 - 59)  ---  * - Any value / - Step values </pre>,<pre>*  *  *  *  * ┬  ┬  ┬  ┬  ┬ │  │  │  │  │ │  │  │  │  └ deň v týždni (0 - 6) (0 je nedeľa) │  │  │  └───── mesiac (1 - 12) │  │  └────────── deň v mesiaci (1 - 31) │  └─────────────── hodina (0 - 23) └──────────────────── minúta (0 - 59)  ---  * - Akákoľvek hodnota / - Krokové hodnoty </pre>
"<pre><code>doc.grand_total &gt; 0</code></pre>  <p>Conditions should be written in simple Python. Please use properties available in the form only.</p> <p>Allowed functions: </p><ul> <li>frappe.db.get_value</li> <li>frappe.db.get_list</li> <li>frappe.session</li> <li>frappe.utils.now_datetime</li> <li>frappe.utils.get_datetime</li> <li>frappe.utils.add_to_date</li> <li>frappe.utils.now</li> </ul> <p>Example: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>","<pre><code>doc.grand_total &gt; 0</code></pre>  <p>Podmienky by mali byť napísané v jednoduchom Pythone. Používajte iba vlastnosti dostupné vo formulári.</p> <p>Povolené funkcie: </p><ul> <li>frappe.db.get_value</li> <li>frappe.db.get_list</li> <li>frappe.session</li> <li>frappe.utils.now_datetime</li> <li>frappe.utils.get_datetime</li> <li>frappe.utils.add_to_date</li> <li>frappe.utils.now</li> </ul> <p>Príklad: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>"
"<span class=""h2"">Hi,</span>","<span class=""h2"">Ahoj,</span>"
"<span class=""h4""><b>Documents</b></span>","<span class=""h4""><b>Dokumenty</b></span>"
"<span class=""h4""><b>Reports & Masters</b></span>","<span class=""h4""><b>Reporty & Majstrovstvá</b></span>"
"<span class=""h4""><b>Reports &amp; Masters</b></span>","<span class=""h4""><b>Reporty &amp; Majstri</b></span>"
"<span class=""h4""><b>Your Shortcuts</b></span>","<span class=""h4""><b>Vaše skratky</b></span>"
"<span style=""font-size: 18px; letter-spacing: 0.18px;""><b>Components to build your app</b></span>","<span style=""font-size: 18px; letter-spacing: 0.18px;""><b>Komponenty na vytvorenie vašej aplikácie</b></span>"
"<span style=""font-size: 18px; letter-spacing: 0.18px;""><b>Get started</b><br></span>","<span style=""font-size: 18px; letter-spacing: 0.18px;""><b>Začať</b><br></span>"
<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.,<strong>Varovanie:</strong> Toto pole je generované systémom a môže byť prepísané budúcou aktualizáciou. Namiesto toho ho upravte pomocou {0}.
=,Možnosť pre pole 'Podmienka' (Výber) v DocType 'Pravidlo pomenovania dokumentu Podmienka'
>,Možnosť pre pole 'Podmienka' (Výber) v DocType 'Pravidlo pomenovania dokumentov Podmienka'
>=,`>=`
"A DocType (Document Type) is used to insert forms in ERPNext. Forms such as Customer, Orders, and Invoices are Doctypes in the backend. You can also create new DocTypes to create new forms in ERPNext as per your business needs.","DocType (typ dokumentu) sa používa na vkladanie formulárov do ERPNext. Formuláre, ako sú Zákazník, Objednávky a Faktúry, sú Doctypes v backendu. Môžete tiež vytvoriť nové DocTypes, aby ste vytvorili nové formuláre v ERPNext podľa potrieb vášho podnikania."
"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens","Názov DocType by mal začínať písmenom a môže pozostávať iba z písmen, číslic, medzier, podčiarkovníkov a spojovníkov."
A featured post must have a cover image,Vybraný príspevok musí mať titulný obrázok
A field with the name {0} already exists in {1},Pole s názvom {0} už existuje v {1}
A file with same name {} already exists,Súbor s rovnakým názvom {} už existuje
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Zoznam zdrojov, ku ktorým bude mať Klientská aplikácia prístup po tom, čo jej používateľ umožní prístup.<br> napr. projekt"
A new account has been created for you at {0},Pre vás bol vytvorený nový účet na {0}
A recurring {0} {1} has been created for you via Auto Repeat {2}.,Opakujúci sa {0} {1} bol pre vás vytvorený prostredníctvom Automatického opakovania {2}.
A symbol for this currency. For e.g. $,Symbol pre túto menu. Napr. $
A template already exists for field {0} of {1},Šablóna už existuje pre pole {0} z {1}
A word by itself is easy to guess.,Slovo samé o sebe je ľahké uhádnuť.
A0,A0
A1,A1
A2,A2
A3,A3
A4,A4
A5,A5
A6,A6
A7,A7
A8,A8
A9,A9
ALL,VŠETKY
API,API
API Access,API prístup
API Endpoint,Koncový bod API
API Endpoint Args,API koncový bod Argumenty
API Key,API kľúč
API Key and Secret to interact with the relay server. These will be auto-generated when the first push notification is sent from any of the apps installed on this site.,"Kľúč API a Tajomstvo na interakciu s relé serverom. Tieto budú automaticky generované, keď bude odoslané prvé push oznámenie z akejkoľvek aplikácie nainštalovanej na tejto stránke."
API Key cannot be regenerated,API kľúč nie je možné znova vygenerovať
API Method,Metóda API
API Secret,API tajomstvo
ASC,ASC
About,O aplikácii
About Us,O nás
About Us Settings,"Nastavenia ""O nás"""
About Us Team Member,"""O nás Člen tímu"""
About {0} minute remaining,Ostáva približne {0} minúta
About {0} minutes remaining,Približne {0} minút zostáva
About {0} seconds remaining,Ostáva približne {0} sekúnd
Access Control,Kontrola prístupu
Access Key ID,Access Key ID
Access Key Secret,Prístupový tajný kľúč
Access Log,Záznam o prístupe
Access Token,Prístupový token
Access Token URL,URL prístupového tokenu
Access not allowed from this IP Address,Prístup z tejto IP adresy nie je povolený.
Account,Účet
Account Deletion Settings,Nastavenia zmazania účtu
Accounts Manager,Manažér účtov
Accounts User,Používateľ účtovnictva
Action,Akcia
Action / Route,Akcia / Trasa
Action Complete,Akcia dokončená
Action Failed,Akcia zlyhala
Action Label,Štítok akcie
Action Timeout (Seconds),Časový limit akcie (sekundy)
Action Type,Typ akcie
Action {0} completed successfully on {1} {2}. View it {3},Akcia {0} bola úspešne dokončená na {1} {2}. Zobraziť ju {3}
Action {0} failed on {1} {2}. View it {3},Akcia {0} zlyhala na {1} {2}. Zobraziť to {3}
Actions,Akcie
Activate,Aktivovať
Active,Aktívne
Active Directory,Active Directory
Active Domains,Aktívne domény
Active Sessions,Aktívne relácie
Activity,Aktivita
Activity Log,Záznam činností
Add,Pridať
Add,Pridať
Add / Remove Columns,Pridať / Odstrániť stĺpce
Add / Update,Pridať / Aktualizovať
Add A New Rule,Pridať nové pravidlo
Add Attachment,Pridať prílohu
Add Background Image,Pridať obrázok pozadia
Add Blog Category,Pridať kategóriu blogu
Add Border at Bottom,Pridať dolnú hranicu
Add Border at Top,Pridať ohraničenie hore
Add Chart to Dashboard,Pridať graf na panel nástrojov
Add Child,Pridať podradený
Add Column,Pridať stĺpec
Add Contact,Pridať kontakt
Add Contacts,Pridať kontakty
Add Container,Pridať kontajner
Add Custom Tags,Pridať vlastné značky
Add Filters,Pridať filtre
Add Gray Background,Pridať sivé pozadie
Add Group,Pridať skupinu
Add Indexes,Pridať indexy
Add Multiple,Pridať viacero
Add New Permission Rule,Pridať nové pravidlo povolení
Add Participants,Pridať účastníkov
Add Query Parameters,Pridať parametre dopytu
Add Review,Pridať recenziu
Add Roles,Pridať role
Add Row,Pridať riadok
Add Signature,Pridať podpis
Add Space at Bottom,Pridať medzeru na spodok
Add Space at Top,Pridať medzeru hore
Add Subscribers,Pridať odberateľov
Add Tags,Pridať značky
Add Tags,Pridať značky
Add Template,Pridať šablónu
Add Total Row,Pridať riadok s celkovým súčtom
Add Unsubscribe Link,Pridať odkaz na odhlásenie
Add User Permissions,Pridať používateľské povolenia
Add Video Conferencing,Pridať videokonferenciu
Add a Filter,Pridajte filter
Add a New Role,Pridať novú úlohu
Add a Row,Pridať riadok
Add a comment,Pridať komentár
Add a new section,Pridajte novú sekciu
Add a row above the current row,Pridajte riadok nad aktuálny riadok
Add a row at the bottom,Pridať riadok na koniec.
Add a row at the top,Pridajte riadok navrch
Add a row below the current row,Pridať riadok pod aktuálny riadok
Add a {0} Chart,Pridať graf {0}
Add column,Pridať stĺpec
Add field,Pridať pole
Add new tab,Pridať novú kartu
Add page break,Pridať koniec strany
Add script for Child Table,Pridať skript pre podriadenú tabuľku
Add section above,Pridať sekciu nad
Add section below,Pridať sekciu nižšie
Add tab,Pridať kartu
Add to Dashboard,Pridať na panel nástrojov
Add to ToDo,Pridať do úloh
Add to table,Pridať do tabuľky
Add to this activity by mailing to {0},Pridajte k tejto aktivite zaslaním e-mailu na {0}
Add {0},Pridať {0}
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Pridané HTML v sekcii &lt;head&gt; na webovej stránke, primárne používané na overenie webovej stránky a SEO"
Added default log doctypes: {},Pridané predvolené logovacie doctypy: {}
Added {0},Pridané {0}
